ticker,feature_set,confirmations,leverage,cooldown_hours,n_states,timeframe,training_days,covariance_type,is_sharpe,is_return,is_drawdown,is_win_rate,is_trades,oos_sharpe,oos_return,oos_drawdown,oos_win_rate,oos_trades,overfit,imp_log_return,imp_price_range,imp_volume_change,imp_realized_vol_ratio,imp_return_autocorr,imp_vol_price_diverge,imp_candle_body_ratio,imp_bb_width
X:BTCUSD,full,7,1.75,48,8,1h,365,diag,0.138,-0.96,-28.61,53.8,39,1.399,15.11,-17.03,47.6,21,0,0.0,0.0,0.0361,0.4049,0.0292,0.464,0.0648,0.0009
X:ETHUSD,full,7,1.5,48,8,1h,365,diag,0.084,-3.68,-33.87,47.8,46,-0.975,-15.33,-33.09,58.3,24,1,0.0,0.0001,0.084,0.4533,0.0049,0.425,0.0258,0.0069
X:ETHUSD,full,6,1.5,72,8,1h,365,diag,0.641,13.49,-24.22,54.9,51,-0.28,-7.21,-28.54,40.9,22,1,0.0,0.0001,0.084,0.4533,0.0049,0.425,0.0258,0.0069
X:BTCUSD,full,7,1.5,48,8,1h,365,diag,0.131,-0.42,-24.79,53.8,39,1.384,13.01,-14.77,47.6,21,0,0.0,0.0,0.0361,0.4049,0.0292,0.464,0.0648,0.0009
X:BTCUSD,full,6,1.75,48,8,1h,365,diag,-1.55,-38.86,-50.59,38.1,63,1.666,23.78,-24.61,51.9,27,0,0.0,0.0,0.0361,0.4049,0.0292,0.464,0.0648,0.0009
X:BTCUSD,full,6,1.75,72,8,1h,365,diag,0.798,16.1,-20.89,52.0,50,2.745,47.01,-23.08,50.0,20,0,0.0,0.0,0.0361,0.4049,0.0292,0.464,0.0648,0.0009
X:ETHUSD,full,6,1.25,72,8,1h,365,diag,0.631,11.83,-20.32,54.9,51,-0.302,-5.82,-24.25,40.9,22,1,0.0,0.0001,0.084,0.4533,0.0049,0.425,0.0258,0.0069
X:ETHUSD,full,6,1.75,72,8,1h,365,diag,0.651,14.87,-28.07,54.9,51,-0.257,-8.68,-32.67,40.9,22,1,0.0,0.0001,0.084,0.4533,0.0049,0.425,0.0258,0.0069
X:SOLUSD,full,6,1.5,72,8,1h,365,diag,-0.973,-30.73,-42.03,43.1,58,1.022,10.2,-26.16,54.2,24,0,0.0001,0.0001,0.1421,0.3179,0.0025,0.4883,0.0413,0.0078
X:XRPUSD,volume_focused,7,1.75,72,8,1h,365,diag,0.1,-16.2,-51.57,51.5,33,-0.875,-24.29,-42.23,37.5,16,1,,,0.3705,0.4957,,0.1337,,
X:XRPUSD,volume_focused,6,1.5,72,8,1h,365,diag,0.015,-19.08,-53.43,45.7,35,-0.174,-9.62,-33.25,29.4,17,0,,,0.3705,0.4957,,0.1337,,
X:BTCUSD,full,6,1.5,48,8,1h,365,diag,-1.558,-33.94,-45.0,38.1,63,1.644,20.23,-21.29,51.9,27,0,0.0,0.0,0.0361,0.4049,0.0292,0.464,0.0648,0.0009
X:ETHUSD,full,6,1.25,48,8,1h,365,diag,-0.597,-21.94,-45.64,42.9,63,-0.21,-5.04,-27.29,50.0,26,0,0.0,0.0001,0.084,0.4533,0.0049,0.425,0.0258,0.0069
X:BTCUSD,full,6,1.25,72,8,1h,365,diag,0.787,11.96,-15.09,52.0,50,2.725,32.38,-16.7,50.0,20,0,0.0,0.0,0.0361,0.4049,0.0292,0.464,0.0648,0.0009
X:BTCUSD,full,7,1.5,72,8,1h,365,diag,0.612,9.48,-18.01,58.3,36,1.998,20.44,-9.68,47.4,19,0,0.0,0.0,0.0361,0.4049,0.0292,0.464,0.0648,0.0009
X:XRPUSD,volume_focused,6,1.75,72,8,1h,365,diag,0.038,-23.93,-59.73,45.7,35,-0.153,-11.83,-37.76,29.4,17,0,,,0.3705,0.4957,,0.1337,,
X:ETHUSD,full,6,1.75,48,8,1h,365,diag,-0.587,-31.99,-58.58,42.9,63,-0.171,-7.79,-36.48,50.0,26,0,0.0,0.0001,0.084,0.4533,0.0049,0.425,0.0258,0.0069
X:XRPUSD,volume_focused,7,1.5,48,8,1h,365,diag,0.216,-10.38,-55.41,45.9,37,-1.155,-26.84,-40.44,33.3,18,1,,,0.3705,0.4957,,0.1337,,
X:XRPUSD,volume_focused,7,1.25,72,8,1h,365,diag,0.062,-9.15,-40.04,51.5,33,-0.929,-17.23,-31.9,37.5,16,1,,,0.3705,0.4957,,0.1337,,
