ticker,timeframe,feature_set,confirmations,leverage,cooldown_hours,covariance_type,wf_sharpe,wf_return,wf_drawdown,wf_n_windows,wf_pos_windows,wf_trades,wf_win_rate,wf_mean_sharpe,wf_std_sharpe,wf_mean_return,wf_std_return,wf_initial_equity,wf_final_equity
X:SOLUSD,1h,base,7,1.0,48,diag,-0.589,-5.16,-13.1,2,1,39,48.7,-0.514,1.819,-2.35,7.13,10000.0,9483.99
X:BTCUSD,3h,base,7,1.0,48,full,-0.206,-2.41,-10.41,5,2,43,41.9,0.031,2.665,-0.42,3.64,10000.0,9759.26
X:BTCUSD,1h,extended,7,1.0,72,diag,-0.308,-4.97,-10.57,5,1,84,40.5,-0.483,0.783,-1.01,1.47,10000.0,9502.77
X:SOLUSD,3h,base,6,1.5,72,full,-0.384,-9.37,-40.38,2,1,33,36.4,-1.182,3.509,-3.04,18.41,10000.0,9063.19
X:ETHUSD,2h,base,7,2.0,72,diag,0.249,0.18,-21.5,2,1,22,50.0,0.184,2.13,0.88,12.62,10000.0,10018.24
X:ETHUSD,1h,extended,8,2.0,48,diag,-0.202,-1.86,-11.3,2,1,8,25.0,0.473,2.631,-0.57,8.46,10000.0,9814.39
X:ETHUSD,1h,base,8,1.0,48,diag,-1.599,-8.24,-8.92,2,0,14,35.7,-1.832,0.68,-4.21,0.42,10000.0,9176.24
X:BTCUSD,3h,extended,8,2.0,48,diag,1.256,12.45,-10.9,5,2,10,70.0,0.841,3.069,2.76,9.17,10000.0,11245.13
X:SOLUSD,2h,full,8,2.0,48,full,-0.829,-3.74,-7.42,2,0,2,50.0,-0.587,0.587,-1.87,1.87,10000.0,9626.09
X:BTCUSD,2h,full,8,1.5,48,diag,-0.039,-1.74,-22.13,5,3,24,45.8,-0.571,3.952,0.25,10.82,10000.0,9825.69
X:SOLUSD,1h,full,7,1.5,48,diag,0.404,4.2,-37.61,2,1,40,45.0,-0.545,2.564,4.4,21.87,10000.0,10420.22
X:SOLUSD,3h,base,6,1.5,48,full,-1.221,-19.42,-32.22,2,0,38,34.2,-1.484,1.151,-10.14,4.02,10000.0,8058.31
X:XRPUSD,3h,extended,6,1.0,48,full,1.819,16.59,-24.51,2,2,27,37.0,1.816,0.11,7.98,0.95,10000.0,11659.39
X:BTCUSD,2h,extended,8,2.0,72,full,0.603,5.82,-10.24,5,3,6,66.7,0.339,1.705,1.31,5.98,10000.0,10581.73
X:XRPUSD,4h,base,7,2.0,48,diag,-0.833,-6.93,-12.43,2,1,7,28.6,-1.432,2.307,-3.36,5.69,10000.0,9306.74
X:XRPUSD,1h,base,6,1.0,48,full,-2.771,-21.39,-21.64,2,0,63,31.7,-2.779,0.128,-11.32,1.93,10000.0,7861.1
X:BTCUSD,1h,extended,8,1.5,48,diag,0.847,11.14,-7.24,5,3,32,56.2,0.76,0.987,2.18,2.87,10000.0,11113.81
X:BTCUSD,1h,extended,8,1.0,48,diag,0.844,7.45,-4.9,5,3,32,56.2,0.758,0.986,1.47,1.92,10000.0,10745.46
X:BTCUSD,2h,full,6,2.0,72,diag,0.033,-6.73,-28.06,5,1,97,49.5,-0.312,1.734,-0.56,13.57,10000.0,9326.9
X:ETHUSD,1h,base,7,1.0,72,diag,-0.43,-4.26,-9.76,2,1,34,47.1,-0.563,0.833,-2.11,2.96,10000.0,9573.52
X:ETHUSD,1h,extended,6,2.0,48,full,0.506,6.74,-40.64,2,1,53,39.6,0.522,2.542,8.24,32.29,10000.0,10673.87
X:XRPUSD,2h,extended,8,1.0,72,full,-0.74,-2.27,-4.79,2,0,6,33.3,-0.616,0.45,-1.14,0.97,10000.0,9773.05
X:XRPUSD,4h,extended,6,2.0,48,full,1.238,7.79,-39.32,2,1,16,43.8,1.21,2.372,7.8,29.02,10000.0,10779.48
X:BTCUSD,1h,extended,7,1.5,72,full,-0.995,-20.77,-29.97,5,2,67,38.8,-0.594,2.564,-3.88,10.84,10000.0,7922.91
X:BTCUSD,4h,full,6,2.0,72,diag,-0.16,-12.22,-45.18,5,2,65,41.5,0.539,4.677,-0.37,20.82,10000.0,8777.63
