Datetime,Open,High,Low,Close,Volume
2025-12-21 21:00:00+00:00,12.06,12.072,11.98,12.0,20641.59158079
2025-12-21 22:00:00+00:00,12.0,12.13,11.99,12.12,26638.90074408001
2025-12-21 23:00:00+00:00,12.13,12.254,12.09,12.14,27530.505100309987
2025-12-22 00:00:00+00:00,12.16,12.425,12.15,12.23,42835.91180454
2025-12-22 01:00:00+00:00,12.22,12.317,12.18,12.18,17452.993045689997
2025-12-22 02:00:00+00:00,12.18,12.19,12.01,12.1,38809.57090260001
2025-12-22 03:00:00+00:00,12.1,12.218,12.07,12.2,16772.729229309996
2025-12-22 04:00:00+00:00,12.2,12.267,12.2,12.23,10142.25881918
2025-12-22 05:00:00+00:00,12.23,12.24,12.17,12.17,11829.889491649998
2025-12-22 06:00:00+00:00,12.18,12.184,12.14,12.154,10019.381670399996
2025-12-22 07:00:00+00:00,12.14,12.2,12.13,12.18,7307.348729380003
2025-12-22 08:00:00+00:00,12.19,12.33,12.16,12.21,42056.890496620006
2025-12-22 09:00:00+00:00,12.21,12.246,12.19,12.24,8346.783184089998
2025-12-22 10:00:00+00:00,12.25,12.29,12.21,12.29,8540.365422769999
2025-12-22 11:00:00+00:00,12.28,12.378,12.24,12.36,41841.48547279999
2025-12-22 12:00:00+00:00,12.36,12.44,12.33,12.37,52516.933686320015
2025-12-22 13:00:00+00:00,12.37,12.379,12.32,12.37,17235.95945425
2025-12-22 14:00:00+00:00,12.37,12.412,12.29,12.36,42299.55328025
2025-12-22 15:00:00+00:00,12.37,12.44,12.27,12.36,50146.35739743
2025-12-22 16:00:00+00:00,12.37,12.4,12.34,12.36,21282.63484154
2025-12-22 17:00:00+00:00,12.36,12.385,12.3,12.385,17165.680484239998
2025-12-22 18:00:00+00:00,12.38,12.4,12.32,12.34,32862.98562907
2025-12-22 19:00:00+00:00,12.34,12.34,12.11,12.15,56818.45582991004
2025-12-22 20:00:00+00:00,12.14,12.203,12.08,12.17,90728.26783915996
2025-12-22 21:00:00+00:00,12.17,12.36,12.17,12.32,88292.62268133005
2025-12-22 22:00:00+00:00,12.32,12.412,12.28,12.4,41393.50135711
2025-12-22 23:00:00+00:00,12.4,12.448,12.34,12.41,31439.85379418001
2025-12-23 00:00:00+00:00,12.42,12.554,12.39,12.46,25970.93849990999
2025-12-23 01:00:00+00:00,12.46,12.524,12.41,12.45,39837.797022690014
2025-12-23 02:00:00+00:00,12.44,12.505,12.38,12.38,30227.875481190003
2025-12-23 03:00:00+00:00,12.39,12.43,12.33,12.4,24853.6385582
2025-12-23 04:00:00+00:00,12.4,12.42,12.3,12.33,100097.89980437998
2025-12-23 05:00:00+00:00,12.33,12.346,12.25,12.3,54395.88672099
2025-12-23 06:00:00+00:00,12.29,12.3,12.12,12.2,57835.92687412001
2025-12-23 07:00:00+00:00,12.19,12.229,12.16,12.19,26270.1642924
2025-12-23 08:00:00+00:00,12.19,12.28,12.18,12.19,17024.119134059998
2025-12-23 09:00:00+00:00,12.18,12.232,12.16,12.18,9913.943769280004
2025-12-23 10:00:00+00:00,12.18,12.25,12.18,12.23,10007.048351409998
2025-12-23 11:00:00+00:00,12.23,12.323,12.21,12.29,15419.256563850002
2025-12-23 12:00:00+00:00,12.28,12.28,12.16,12.18,11153.04631656
2025-12-23 13:00:00+00:00,12.17,12.21,12.01,12.07,45897.13564925003
2025-12-23 14:00:00+00:00,12.07,12.11,11.84,11.94,131206.12273143994
2025-12-23 15:00:00+00:00,11.93,12.0,11.89,11.95,33459.59857449001
2025-12-23 16:00:00+00:00,11.95,12.076,11.91,12.05,40589.14892937999
2025-12-23 17:00:00+00:00,12.05,12.101,11.96,11.96,22706.34751312
2025-12-23 18:00:00+00:00,11.97,12.175,11.97,12.14,18831.88072485
2025-12-23 19:00:00+00:00,12.14,12.189,12.08,12.12,12776.26917538
2025-12-23 20:00:00+00:00,12.12,12.33,12.07,12.26,40219.26065385999
2025-12-23 21:00:00+00:00,12.27,12.348,12.21,12.23,24518.98315992002
2025-12-23 22:00:00+00:00,12.23,12.29,12.15,12.18,19407.58453733
2025-12-23 23:00:00+00:00,12.18,12.19,12.11,12.18,29932.46452601002
2025-12-24 00:00:00+00:00,12.18,12.2,12.12,12.18,13690.10149903
2025-12-24 01:00:00+00:00,12.18,12.23,12.13,12.15,15333.74408603
2025-12-24 02:00:00+00:00,12.15,12.15,11.98,12.0,47369.84614261001
2025-12-24 03:00:00+00:00,11.99,12.08,11.96,12.05,17886.800045629992
2025-12-24 04:00:00+00:00,12.06,12.13,12.0,12.01,28917.754704870003
2025-12-24 05:00:00+00:00,12.01,12.05,11.95,11.97,60115.74759981
2025-12-24 06:00:00+00:00,11.98,12.01,11.93,11.99,23905.74650870001
2025-12-24 07:00:00+00:00,11.99,12.021,11.97,11.98,12508.461717120004
2025-12-24 08:00:00+00:00,11.98,12.051,11.96,11.99,14736.788525020002
2025-12-24 09:00:00+00:00,12.0,12.052,12.0,12.01,6308.37291348
2025-12-24 10:00:00+00:00,12.01,12.11,12.0,12.07,7551.28497242
2025-12-24 11:00:00+00:00,12.07,12.133,12.07,12.1,64012.76888521
2025-12-24 12:00:00+00:00,12.1,12.13,12.08,12.13,11305.0397132
2025-12-24 13:00:00+00:00,12.13,12.14,12.04,12.06,10482.20862579
2025-12-24 14:00:00+00:00,12.06,12.08,11.88,11.97,60621.90603687
2025-12-24 15:00:00+00:00,11.98,12.03,11.91,12.0,26960.95561403
