Datetime,Open,High,Low,Close,Volume
2025-12-21 21:00:00+00:00,1.7823,1.785,1.766,1.766,61277.59399316998
2025-12-21 22:00:00+00:00,1.768,1.793,1.765,1.792,20915.181965609994
2025-12-21 23:00:00+00:00,1.792,1.8127,1.79,1.8014,64777.36202770001
2025-12-22 00:00:00+00:00,1.802,1.8567,1.8017,1.808,179041.39401632003
2025-12-22 01:00:00+00:00,1.807,1.828,1.8037,1.806,95529.77975165004
2025-12-22 02:00:00+00:00,1.805,1.8057,1.7767,1.804,110347.42799930004
2025-12-22 03:00:00+00:00,1.8035,1.82,1.7974,1.813,68057.64870155
2025-12-22 04:00:00+00:00,1.813,1.8241,1.812,1.817,46796.81849155999
2025-12-22 05:00:00+00:00,1.8163,1.821,1.8065,1.81,19987.06426546
2025-12-22 06:00:00+00:00,1.808,1.817,1.805,1.81,14615.106718760006
2025-12-22 07:00:00+00:00,1.809,1.819,1.807,1.812,24514.25649407
2025-12-22 08:00:00+00:00,1.812,1.835,1.809,1.813,44402.17864255001
2025-12-22 09:00:00+00:00,1.8131,1.82,1.8105,1.816,57822.58229731
2025-12-22 10:00:00+00:00,1.817,1.824,1.811,1.817,84013.59400512998
2025-12-22 11:00:00+00:00,1.8166,1.829,1.811,1.8229,33463.52494978
2025-12-22 12:00:00+00:00,1.8218,1.84,1.821,1.826,128281.19079581
2025-12-22 13:00:00+00:00,1.828,1.831,1.818,1.8286,30371.18305208
2025-12-22 14:00:00+00:00,1.83,1.847,1.822,1.84,96289.69634403998
2025-12-22 15:00:00+00:00,1.841,1.8527,1.813,1.835,158573.10308900973
2025-12-22 16:00:00+00:00,1.834,1.848,1.8292,1.832,46231.650156300006
2025-12-22 17:00:00+00:00,1.832,1.832,1.813,1.815,85780.15320334003
2025-12-22 18:00:00+00:00,1.8155,1.8195,1.797,1.8013,102116.34040799004
2025-12-22 19:00:00+00:00,1.802,1.802,1.764,1.768,267163.23257563025
2025-12-22 20:00:00+00:00,1.767,1.78,1.755,1.766,180432.56910354007
2025-12-22 21:00:00+00:00,1.7663,1.778,1.766,1.7678,86887.15263803002
2025-12-22 22:00:00+00:00,1.7673,1.791,1.761,1.788,65524.581998859976
2025-12-22 23:00:00+00:00,1.7882,1.7882,1.776,1.783,42837.65136170998
2025-12-23 00:00:00+00:00,1.782,1.8018,1.779,1.794,57211.68234711001
2025-12-23 01:00:00+00:00,1.7952,1.799,1.781,1.7872,48591.83790007
